Episode 352, Score: 5.0, eps: 0.01
Episode 353, Score: 12.0, eps: 0.01
Episode 354, Score: 23.0, eps: 0.01
Episode 355, Score: 11.0, eps: 0.01
Episode 356, Score: 12.0, eps: 0.01
Episode 357, Score: 13.0, eps: 0.01
Episode 358, Score: 14.0, eps: 0.01
Episode 359, Score: 21.0, eps: 0.01
Episode 360, Score: 14.0, eps: 0.01
Episode 361, Score: 11.0, eps: 0.01
Episode 362, Score: 6.0, eps: 0.01
Episode 363, Score: 13.0, eps: 0.01
Episode 364, Score: 9.0, eps: 0.01
Episode 365, Score: 20.0, eps: 0.01
Episode 366, Score: 15.0, eps: 0.01
Episode 367, Score: 13.0, eps: 0.01
Episode 368, Score: 14.0, eps: 0.01
Episode 369, Score: 20.0, eps: 0.01
Episode 370, Score: 7.0, eps: 0.01
Episode 371, Score: 21.0, eps: 0.01
Episode 372, Score: 11.0, eps: 0.01
Episode 373, Score: 4.0, eps: 0.01
Episode 374, Score: 11.0, eps: 0.01
Episode 375, Score: 11.0, eps: 0.01
Episode 376, Score: 12.0, eps: 0.01
Episode 377, Score: 12.0, eps: 0.01
Episode 378, Score: 13.0, eps: 0.01
Episode 379, Score: 17.0, eps: 0.01
Episode 380, Score: 12.0, eps: 0.01
Episode 381, Score: 17.0, eps: 0.01
Episode 382, Score: 17.0, eps: 0.01
Episode 383, Score: 14.0, eps: 0.01
Episode 384, Score: 16.0, eps: 0.01
Episode 385, Score: 13.0, eps: 0.01
Episode 386, Score: 12.0, eps: 0.01
Episode 387, Score: 18.0, eps: 0.01
Episode 388, Score: 15.0, eps: 0.01
Episode 389, Score: 10.0, eps: 0.01
Episode 390, Score: 23.0, eps: 0.01
Episode 391, Score: 20.0, eps: 0.01
Episode 392, Score: 11.0, eps: 0.01
Episode 393, Score: 16.0, eps: 0.01
Episode 394, Score: 21.0, eps: 0.01
Episode 395, Score: 21.0, eps: 0.01
Episode 396, Score: 14.0, eps: 0.01
Episode 397, Score: 17.0, eps: 0.01
Episode 398, Score: 9.0, eps: 0.01
Episode 399, Score: 16.0, eps: 0.01
Episode 400, Score: 5.0, eps: 0.01
Episode 401, Score: 11.0, eps: 0.01
Episode 402, Score: 19.0, eps: 0.01
Episode 403, Score: 12.0, eps: 0.01
Episode 404, Score: 16.0, eps: 0.01
Episode 405, Score: 11.0, eps: 0.01
Episode 406, Score: 12.0, eps: 0.01
Episode 407, Score: 13.0, eps: 0.01
Episode 408, Score: 14.0, eps: 0.01
Episode 409, Score: 15.0, eps: 0.01
Episode 410, Score: 20.0, eps: 0.01
Episode 411, Score: 9.0, eps: 0.01
Episode 412, Score: 13.0, eps: 0.01
Episode 413, Score: 18.0, eps: 0.01
Episode 414, Score: 14.0, eps: 0.01
Episode 415, Score: 15.0, eps: 0.01
Episode 416, Score: 10.0, eps: 0.01
Episode 417, Score: 15.0, eps: 0.01
Episode 418, Score: 12.0, eps: 0.01
Episode 419, Score: 16.0, eps: 0.01
Episode 420, Score: 15.0, eps: 0.01
Episode 421, Score: 7.0, eps: 0.01
Episode 422, Score: 18.0, eps: 0.01
Episode 423, Score: 7.0, eps: 0.01
Episode 424, Score: 14.0, eps: 0.01
Episode 425, Score: 13.0, eps: 0.01
Episode 426, Score: 14.0, eps: 0.01
Episode 427, Score: 15.0, eps: 0.01
Episode 428, Score: 12.0, eps: 0.01
Episode 429, Score: 16.0, eps: 0.01
Episode 430, Score: 15.0, eps: 0.01
Episode 431, Score: 14.0, eps: 0.01
Episode 432, Score: 10.0, eps: 0.01
Episode 433, Score: 20.0, eps: 0.01
Episode 434, Score: 19.0, eps: 0.01
Episode 435, Score: 16.0, eps: 0.01
Episode 436, Score: 9.0, eps: 0.01
Episode 437, Score: 13.0, eps: 0.01
Episode 438, Score: 9.0, eps: 0.01
Episode 439, Score: 16.0, eps: 0.01
Episode 440, Score: 8.0, eps: 0.01
Episode 441, Score: 20.0, eps: 0.01
Episode 442, Score: 11.0, eps: 0.01
Episode 443, Score: 13.0, eps: 0.01
Episode 444, Score: 17.0, eps: 0.01
Episode 445, Score: 14.0, eps: 0.01
Episode 446, Score: 8.0, eps: 0.01
Episode 447, Score: 16.0, eps: 0.01
Episode 448, Score: 13.0, eps: 0.01
Episode 449, Score: 12.0, eps: 0.01
Episode 450, Score: 14.0, eps: 0.01
Episode 451, Score: 3.0, eps: 0.01
Episode 452, Score: 12.0, eps: 0.01
Episode 453, Score: 14.0, eps: 0.01
Episode 454, Score: 19.0, eps: 0.01
Episode 455, Score: 11.0, eps: 0.01
Episode 456, Score: 17.0, eps: 0.01
Episode 457, Score: 11.0, eps: 0.01
Episode 458, Score: 14.0, eps: 0.01
Episode 459, Score: 16.0, eps: 0.01
Episode 460, Score: 10.0, eps: 0.01
Episode 461, Score: 15.0, eps: 0.01
Episode 462, Score: 6.0, eps: 0.01
Episode 463, Score: 14.0, eps: 0.01
Episode 464, Score: 17.0, eps: 0.01
Episode 465, Score: 9.0, eps: 0.01
Episode 466, Score: 19.0, eps: 0.01
Episode 467, Score: 16.0, eps: 0.01
Episode 468, Score: 16.0, eps: 0.01
Episode 469, Score: 15.0, eps: 0.01
Episode 470, Score: 12.0, eps: 0.01
Episode 471, Score: 18.0, eps: 0.01
Episode 472, Score: 25.0, eps: 0.01
Episode 473, Score: 17.0, eps: 0.01
Episode 474, Score: 11.0, eps: 0.01
Episode 475, Score: 16.0, eps: 0.01
Episode 476, Score: 12.0, eps: 0.01
Episode 477, Score: 18.0, eps: 0.01
Episode 478, Score: 8.0, eps: 0.01
Episode 479, Score: 14.0, eps: 0.01
Episode 480, Score: 15.0, eps: 0.01
Episode 481, Score: 25.0, eps: 0.01
Episode 482, Score: 18.0, eps: 0.01
Episode 483, Score: 12.0, eps: 0.01
Episode 484, Score: 10.0, eps: 0.01
Episode 485, Score: 14.0, eps: 0.01
Episode 486, Score: 6.0, eps: 0.01
Episode 487, Score: 17.0, eps: 0.01
Episode 488, Score: 15.0, eps: 0.01
Episode 489, Score: 11.0, eps: 0.01
Episode 490, Score: 16.0, eps: 0.01
Episode 491, Score: 14.0, eps: 0.01
Episode 492, Score: 11.0, eps: 0.01
Episode 493, Score: 13.0, eps: 0.01
Episode 494, Score: 20.0, eps: 0.01
Episode 495, Score: 16.0, eps: 0.01
Episode 496, Score: 16.0, eps: 0.01
Episode 497, Score: 6.0, eps: 0.01
Episode 498, Score: 6.0, eps: 0.01
Episode 499, Score: 20.0, eps: 0.01
Episode 500, Score: 9.0, eps: 0.01
Episode 501, Score: 9.0, eps: 0.01
Episode 502, Score: 21.0, eps: 0.01
Episode 503, Score: 16.0, eps: 0.01
Episode 504, Score: 10.0, eps: 0.01
Episode 505, Score: 21.0, eps: 0.01
Episode 506, Score: 16.0, eps: 0.01
Episode 507, Score: 11.0, eps: 0.01
Episode 508, Score: 10.0, eps: 0.01
Episode 509, Score: 14.0, eps: 0.01
Episode 510, Score: 14.0, eps: 0.01
Episode 511, Score: 8.0, eps: 0.01
Episode 512, Score: 14.0, eps: 0.01
Episode 513, Score: 17.0, eps: 0.01
Episode 514, Score: 12.0, eps: 0.01
Episode 515, Score: 16.0, eps: 0.01
Episode 516, Score: 12.0, eps: 0.01
Episode 517, Score: 13.0, eps: 0.01
Episode 518, Score: 4.0, eps: 0.01
Episode 519, Score: 19.0, eps: 0.01
Episode 520, Score: 14.0, eps: 0.01
Episode 521, Score: 17.0, eps: 0.01
Episode 522, Score: 18.0, eps: 0.01
Episode 523, Score: 13.0, eps: 0.01
Episode 524, Score: 13.0, eps: 0.01
Episode 525, Score: 14.0, eps: 0.01
Episode 526, Score: 18.0, eps: 0.01
Episode 527, Score: 14.0, eps: 0.01
Episode 528, Score: 13.0, eps: 0.01
Episode 529, Score: 13.0, eps: 0.01
Episode 530, Score: 13.0, eps: 0.01
Episode 531, Score: 14.0, eps: 0.01
Episode 532, Score: 13.0, eps: 0.01
